Start-Datum;End-Datum;Name;Turnierart;Ordnungsnummer;Land;Ort;Region;Offener-Turniername;Veranstalter;Kategorie;Meldeschluss;Turnier-Link;Ausschreibung-Link;Ausschreibung-PDF;AK_U9;AK_U11;AK_U13;AK_U15;AK_U17;AK_U19;AK_U22;AK_O19;AK_O35
08.02.2021;08.02.2021;2. C-RLT SAC U11/U17;Rangliste;2;DE;Sporthalle Liebertwolkwitz Jahnstrasse, Lieberwolkwitz;;;SAC;C2-Level;18.01.2021;https://www.turnier.de/sport/tournament?id=853D040D-38F3-4C86-BEF9-3964A70511D8;http://www.bvsachsen.de/index.php?option=com_jevents&task=cat.listevents&offset=1&category_fv=153&Itemid=81;ja;;Einzel/Doppel;;;Einzel/Mixed;;;;
08.02.2021;09.02.2021;1. B-RLT Süd-Ost U13;Rangliste;1;DE;Trostberg;;;GRSO;B-Level;14.01.2021;https://www.turnier.de/sport/tournament?id=44ED4E65-439A-4193-9F26-03F841D1494F;;ja;;;Einzel/Doppel/Mixed;;;;;;
08.02.2021;09.02.2021;1. B-RLT Nord U17/U19;Rangliste;1;DE;Liebenau (NIS);;;GRN;B-Level;14.01.2021;https://www.turnier.de/sport/tournament?id=A07FBDF0-1177-406C-ACAE-906F6679359B;https://cloud.badminton.de/index.php/s/Lw92oQgcyIM6SCl;ja;;;;;Einzel/Doppel/Mixed;Einzel/Doppel/Mixed;;;
08.02.2021;09.02.2021;1. D-RLT NIS NBV-Bezirk Hannover U9-U19;Rangliste;1;DE;Hemmingen;NBV-Bezirk Hannover;;NIS;D1-Level;30.01.2021;https://www.turnier.de/sport/tournament?id=6738581D-A225-4BB4-82DE-ED9590BF001D;https://www.nbv-online.de/ausschreibung/200208-09-DBV-Jgd-DRTE-U9-U19-Hemmingen.pdf;nein;Einzel;Einzel;Einzel;Einzel;Einzel;Einzel;;;
08.02.2021;09.02.2021;1. D-RLT NIS NBV-Bezirk Lüneburg U9-U19;Rangliste;1;DE;Ritterhude;NBV-Bezirk Lüneburg;;NIS;D1-Level;30.01.2021;https://www.turnier.de/sport/tournament?id=081A62D9-8D61-467E-9A17-E15791F7B614;https://www.nbv-online.de/ausschreibung/200208-09-DBV-Jgd-DRTE-U9-U19-Ritterhude.pdf;nein;Einzel;Einzel;Einzel;Einzel;Einzel;Einzel;;;
08.02.2021;09.02.2021;1. D-RLT BAW NB (Nordbaden) U11-U19;Rangliste;1;DE;Spöck;NB (Nordbaden);;BAW;D1-Level;14.01.2021;https://www.turnier.de/sport/tournament?id=E2885D70-8E3E-4008-9D81-2AE845D4F293;https://bwbv.de/jugend/nb/jugend/saison202020/bezirk_files/Bezirksrangliste_2021_1.pdf;ja;;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;Einzel/Doppel;;;
08.02.2021;09.02.2021;1. D-RLT BAW SW (Südwürttemberg) U11-U19;Rangliste;1;DE;Friedrichshafen;SW (Südwürttemberg);;BAW;D1-Level;14.01.2021;https://www.turnier.de/sport/tournament?id=BBDBA1BF-B328-4DA5-BE59-96777EFAAA95;;ja;;Einzel;Einzel;Einzel;Einzel;Einzel;;;
09.02.2021;09.02.2021;1. D-RLT NRW Süd 2 U11-U19 (1. Bezirks- ERLT West Süd 2);Rangliste;1;DE;Leverkusen;Süd 2;1. Bezirks- ERLT West Süd 2;NRW;D1-Level;29.01.2021;https://www.turnier.de/sport/tournament?id=9A9583FA-D2DD-4F2D-9A9D-B61AC431CD5A;;ja;;Einzel;Einzel;Einzel;Einzel;Einzel;;;
09.02.2021;09.02.2021;1. E-RLT NRW Süd 2 U11-U19 (1. Bezirks-ERLT West Süd 2);Rangliste;1;DE;Leverkusen;Süd 2;1. Bezirks-ERLT West Süd 2;NRW;E-Level;29.01.2021;https://www.turnier.de/sport/tournament?id=424E84EF-B0FA-4623-9DBA-0E76AB813F95;;ja;;Einzel;Einzel;Einzel;Einzel;Einzel;;;
09.02.2021;09.02.2021;1. D-RLT NRW Süd 2 U11-U19 (1. Bezirks-ERLT Ost Süd 2);Rangliste;1;DE;Wermelskirchen;Süd 2;1. Bezirks-ERLT Ost Süd 2;NRW;D1-Level;29.01.2021;https://www.turnier.de/sport/tournament?id=9603879B-DE6B-4CDF-9DF5-33D6F5992F0A;;ja;;Einzel;Einzel;Einzel;Einzel;Einzel;;;
